codigo_ocupacion,nombre_ocupacion
"8223","Anodizador"
"2442","Antropólogo"
"7215","Aparejador"
"7215","Aparejador, aparatos de elevación"
"7215","Aparejador, buques"
"3112","Aparejador, ingeniería civil"
"7215","Aparejador, máquinas de izar"
"7215","Aparejador, máquinas de izar/construcción"
"7215","Aparejador, perforaciones/petróleo y gas"
"2148","Apeador"
"6123","Apicultor"
"9313","Apilador de material, construcción/edificios"
"7221","Apisonador, forja"
"2421","Apoderado"
"7129","Apuntalador, edificación"
"7111","Apuntalador, minas"
"8112","Apurador, lavador mineral"
"3475","Arbitro, deportivo"
"2429","Arbitro, reclamaciones/seguridad social"
"2213","Arboricultor"
"6112","Arboricultor, almendros"
"6112","Arboricultor, arbustos"
"6112","Arboricultor, cacao"
"6112","Arboricultor, cafetales"
"6112","Arboricultor, cocoteros"
"6112","Arboricultor, frutales"
"6112","Arboricultor, lúpulo"
"6112","Arboricultor, nogales"
"6112","Arboricultor, oleaginosas"
"6112","Arboricultor, plantaciones/copra"
"6112","Arboricultor, plantaciones/hévea"
"6112","Arboricultor, plantaciones/té"
"2431","Archivero"
"2431","Archivero, paleólogo"
"4141","Archivista"
"2460","Arcipreste"
"2451","Argumentista, teatro o cine"
"7214","Armador, blindaje/buques"
"7442","Armador, calzado"
"7214","Armador, estructuras/acero"
"7123","Armador, hormigón armado"
"7341","Armador, páginas"
"7222","Armero"
"2453","Armonista"
"7416","Aromatizador"
"2453","Arpista"
"6154","Arponero"
"2442","Arqueólogo"
"2145","Arquitecto, construcciones navales"
"2141","Arquitecto, edificios"
"2141","Arquitecto, interiores de edificios"
"2141","Arquitecto, paisajista"
"7111","Arrancaestemples, canteras"
"7111","Arrancaestemples, minas"
"9211","Arriero"
"7412","Arropiero"
"7332","Artesano, accesorios de cuero"
"7332","Artesano, artículos de cuero"
"7331","Artesano, artículos de madera"
"7331","Artesano, artículos de papel"
"7331","Artesano, artículos de piedra"
"7331","Artesano, fabricación de bujías"
"7332","Artesano, hilados/textiles"
"7341","Artesano, impresor"
"7332","Artesano, prendas de vestir"
"7332","Artesano, prendas de vestir/tejidas"
"7331","Artesano, tejedor/juncos"
"7331","Artesano, tejedor/mimbre"
"7432","Artesano, tejedor/telar"
"7332","Artesano, textiles"
"7332","Artesano-tejedor, alfombras"
"7332","Artesano-tejedor, telas"
"7112","Artillero, canteras"
"2452","Artista comercial"
"2452","Artista creativo"
"2453","Artista lírico"
"2452","Artista pintor"
"3474","Artista, marionetas"
"3474","Artista, strip-tease"
"3474","Artista, trapecio"
"2460","Arzobispo"
"9151","Ascensorista"
"3412","Asegurador"
"3412","Asegurador, marítimo"
"8141","Aserrador, aserradero"
"8141","Aserrador, cantos"
"7313","Aserrador, diamantes industriales"
"7423","Aserrador, madera"
"6141","Aserrador, monte"
"7113","Aserrador, piedra"
"7423","Aserrador, sierra de bastidor"
"7423","Aserrador, sierra de cinta"
"7423","Aserrador, sierra de precisión"
"7423","Aserrador, sierra mecánica/precisión"
"2429","Asesor jurídico"
"3411","Asesor, inversiones"
"2351","Asesor, métodos de enseñanza"
"3225","Asistente dentista, escuelas"
"3221","Asistente médico"
"2446","Asistente médico social"
"3221","Asistente médico, planificación familiar"
"3460","Asistente médico-social, incapacitados físicos"
"3460","Asistente médico-social, sordos"
"2446","Asistente social"
"2446","Asistente social, bienestar social"
"2446","Asistente social, delincuencia"
"2446","Asistente social, delincuencia/libertad condicional"
"2446","Asistente social, delincuencia/prevención y rehabilitación"
"2446","Asistente social, empresa"
"2446","Asistente social, hospital"
"3460","Asistente social, nivel medio"
"3460","Asistente social, nivel medio/delincuencia"
"2446","Asistente social, prisiones"
"2446","Asistente social, protección de la familia"
"2446","Asistente social, protección de la infancia"
"2446","Asistente social, psiquiatría"
"2446","Asistente social, rehabilitación/incapacitados físicos"
"2446","Asistente social, servicios comunitarios"
"2446","Asistente social, servicios culturales"
"2446","Asistente social, servicios de ayuda familiar"
"2446","Asistente social, servicios sociales"
"5141","Asistente, baños"
"4141","Asistente, biblioteca"
"5132","Asistente, dental"
"3228","Asistente, farmacéutico"
"3227","Asistente, veterinario"
"2111","Astrofísico"
"5151","Astrólogo"
"2111","Astrónomo"
"3475","Atleta"
"2411","Auditor"
"1120","Auditor general, administración pública"
"3475","Automovilista, carreras"
"2451","Autor"
"2451","Autor, drama"
"2451","Autor, letra de canciones"
"2451","Autor, teatro"
"3434","Auxiliar actuario"
"3434","Auxiliar contador"
"3434","Auxiliar estadístico"
"3228","Auxiliar farmacéutico"
"3434","Auxiliar matemático"
"3432","Auxiliar, abogacía"
"3432","Auxiliar, agente de bolsa"
"3432","Auxiliar, bufete/abogado"
"3225","Auxiliar, dentista"
"5132","Auxiliar, enfermería"
"5132","Auxiliar, enfermería/excepto enfermería a domicilio"
"5132","Auxiliar, enfermería/primeros auxilios"
"3432","Auxiliar, escribanía/transferencia de bienes raíces"
"5131","Auxiliar, guardería escolar"
"5132","Auxiliar, hospitalario"
"5131","Auxiliar, volante (baby-sitter)"
"6122","Avicultor"
"6122","Avicultor, cría/criadero"
"6122","Avicultor, huevos"
"6122","Avicultor, incubación artificial"
"6122","Avicultor, ocas"
"6122","Avicultor, patos"
"6122","Avicultor, pavos"
"6122","Avicultor, pollos"
"5131","Aya"
"5142","Ayuda de cámara"
"5142","Ayuda de cámara, hotel"
"5142","Ayuda de cámara, personal"
"8311","Ayudante de conductor, locomotora"
"3131","Ayudante de dirección, cine"
"8311","Ayudante de maquinista, tren"
"5132","Ayudante, ambulancia"
"5141","Ayudante, baño turco"
"5141","Ayudante, baño/sauna"
"5132","Ayudante, consultorio dental"
"3433","Ayudante, contable"
"3480","Ayudante, culto"
"5132","Ayudante, dentista"
"3131","Ayudante, dirección cinematográfica"
"5132","Ayudante, enfermería"
"5132","Ayudante, enfermería/ambulancia"
"5132","Ayudante, enfermería/clínica"
"5133","Ayudante, enfermería/domicilio"
"5132","Ayudante, enfermería/hospital"
"5139","Ayudante, farmacia"
"5132","Ayudante, odontología"
"5139","Ayudante, veterinaria"
"5111","Ayudante, vuelo"
"5111","Azafata, aeropuerto"
"5111","Azafata, avión"
"5111","Azafata, información/aeropuerto"
"5123","Azafata, servicio de comidas/personal"
"7324","Azogador"
"7132","Azulejero"
"2211","Bacteriólogo"
"2211","Bacteriólogo, agricultura"
"2211","Bacteriólogo, alimentación"
"2211","Bacteriólogo, farmacia"
"2211","Bacteriólogo, industria"
"2211","Bacteriólogo, industrias lácteas"
"2211","Bacteriólogo, medicina"
"2211","Bacteriólogo, medicina/veterinaria"
"2211","Bacteriólogo, pesca"
"2211","Bacteriólogo, suelos"
"2454","Bailarín"
"2454","Bailarín, ballet"
"3473","Bailarín, cabaret"
"3473","Bailarín, corista"
"2454","Bailarín, solista"
"3473","Bailarín, zapateado"
"2454","Bailarina"
"3473","Bailarina, cabaret"
"3473","Bailarina, castañuelas"
"3473","Bailarina, corista"
"3473","Bailarina, zapateado"
"2453","Bajo"
"2453","Bajonista"
"6154","Ballenero"
"3475","Banderillero"
"5169","Bañero"
"3226","Bañero, tratamientos medicinales"
"4213","Banquero, sala de juego"
"5141","Barbero"
"2453","Barítono"
"5123","Barman"
"7142","Barnizador, metales"
"7422","Barnizador, muebles/madera"
"7142","Barnizador, productos manufacturados"
"7142","Barnizador, vehículos"
"8340","Barquero"
"9162","Barrendero"
"9162","Barrendero, calles"
"9162","Barrendero, fábricas"
"9162","Barrendero, plazas y parques"
"7112","Barrenero"
"7111","Barretero"
"7422","Barrilero"
"9161","Basurero"
"8264","Batanero, productos textiles"
"8340","Batelero"
"2453","Baterista"
"9213","Batidor de caza"
"7412","Batidor, chocolate"
"7431","Batidor, fibras textiles"
"7313","Batidor, oro"
"7313","Batihoja"
"7431","Batanero"
"9141","Bedel"
"2432","Bibliotecario"
"2122","Bioestadístico"
"2212","Biofísico"
"2451","Biógrafo"
"2211","Biólogo"
"2211","Biólogo molecular"
"2211","Biólogo, fauna de agua dulce"
"2211","Biólogo, fauna marina"
"2211","Biólogo, genética"
"2211","Biólogo, hidrobiología"
"2122","Biometrista"
"2212","Bioquímico"
"7322","Biselador, cristales"
"7412","Bizcochero"
"3471","Blasonista"
"7241","Bobinador"
"9151","Bodeguero"
"7412","Bollero"
"5161","Bombero"
"5161","Bombero, accidentes de aviación"
"5161","Bombero, aeropuertos"
"5161","Bombero, forestal"
"7412","Bombonero"
"2460","Bonzo"
"7436","Bordador"
"8263","Bordador, a máquina"
"2211","Botánico"
"2211","Botánico, ecología"
"2211","Botánico, economista"
"2211","Botánico, genética"
"2211","Botánico, histología"
"2211","Botánico, micología"
"2211","Botánico, suelos"
"2211","Botánico, taxonomía"
"2224","Boticario"
"7321","Botijero"
"9151","Botones"
"3475","Boxeador"
"9211","Boyero"
"9211","Bracero agrícola"
"7424","Brucero"
"7224","Bruñidor, metales"
"9112","Buhonero"
"7216","Buzo"
"6152","Buzo, pescador/esponjas"
"6152","Buzo, pescador/ostras"
"3474","Caballista, circo"
"9151","Caddie, o portador de palos de golf"
"4211","Cajero, almacén/autoservicio"
"4211","Cajero, apuestas"
"4211","Cajero, banco"
"4211","Cajero, cobrador de peajes"
"4211","Cajero, contabilidad de caja"
"4211","Cajero, empresa/almacén"
"4211","Cajero, hotel"
"4211","Cajero, mostrador"
"4211","Cajero, oficina"
"4211","Cajero, restaurante"
"4211","Cajero, tienda"
"4211","Cajero, venta de billetes"
"7341","Cajista"
"7341","Cajista armador, moldes de impresión"
"7341","Cajista compaginador"
"7341","Cajista, composición manual"
"7341","Cajista, composición mecánica/linotipia"
"7341","Cajista, intertipia"
"7324","Calcador, cerámica decorativa"
"9112","Calderero"
"7213","Calderero, chapas de acero"
"7213","Calderero, chapista"
"7213","Calderero, cobre"
"7311","Calibrador, instrumentos de precisión"
"5141","Callista"
"5123","Camarera"
"5111","Camarera, barco"
"5111","Camarera, barco/cabina"
"5111","Camarera, barco/jefa"
"5123","Camarero"
"5123","Camarero de bar"
"5111","Camarero, barco"
"5111","Camarero, barco/cabina"
"5123","Camarero, barco/comidas de los tripulantes"
"5123","Camarero, barco/salón comedor"
"5123","Camarero, ferrocarril/vagón restaurante"
"9132","Camarero, hotelería"
"5123","Camarero, jefe"
"5123","Camarero, servicio de etiqueta"
"5123","Camarero, servicio de vinos"
"5142","Camarista"
"3131","Camarógrafo"
"3131","Camarógrafo, cinematógrafo"
"3131","Camarógrafo, televisión"
"4212","Cambista"
"5132","Camillero"
"7433","Camisero"
"7431","Canalero, fibras textiles"
"1210","Cancelario de universidad"
"1110","Canciller"
"2460","Canónigo"
"2453","Cantante"
"3473","Cantante, cabaret"
"2453","Cantante, concierto"
"2453","Cantante, coral"
"2453","Cantante, jazz"
"2453","Cantante, música popular"
"2453","Cantante, ópera"
"7111","Cantero"
"3473","Cantor, ambulante"
"2460","Capellán"
"5141","Capilicultor"
"3142","Capitán, altura"
"3142","Capitán, barco"
"3142","Capitán, barco/navegación fluvial o lacustre"
"3142","Capitán, barco/navegación marítima"
"3142","Capitán, marina mercante"
"3142","Capitán, puerto"
"3142","Capitán, remolcador"
"3142","Capitán, yate"
"9332","Caravanero"
"6142","Carbonero, carbón vegetal"
"5163","Carcelero"
"7431","Cardador, fibras textiles"
"2221","Cardiólogo"
"9333","Cargador"
"8121","Cargador, alto horno"
"9333","Cargador, buques"
"9333","Cargador, buques cisterna/gases"
"9333","Cargador, buques cisterna/líquidos"
"9333","Cargador, camiones"
"9333","Cargador, muebles"
"9333","Cargador, vehículos/transporte ferroviario"
"9333","Cargador, vehículos/transporte por carretera"
"2455","Caricato"
"2452","Caricaturista"
"7411","Carnicero"
"7411","Carnicero-matarife"
"7124","Carpintero"
"7124","Carpintero, armado"
"7124","Carpintero, astillero"
"7124","Carpintero, aviación"
"7124","Carpintero, banco/taller"
"7124","Carpintero, blanco"
"7124","Carpintero, construcción"
"7124","Carpintero, de a bordo"
"7124","Carpintero, de armar/encofrados"
"7124","Carpintero, decorados"
"7124","Carpintero, embarcadero"
"7124","Carpintero, minas"
"7124","Carpintero, obras de afuera"
"7124","Carpintero, plató/cine"
"7124","Carpintero, puertas y ventanas"
"7124","Carpintero, ribera"
"7124","Carpintero, taller"
"7124","Carpintero, trabajos de mantenimiento"
"7124","Carpintero-armador, puentes y embarcaderos"
"7124","Carpintero-constructor, barcas de madera"
"7124","Carpintero-constructor, mástiles"
"7124","Carpintero-ebanista, astilleros"
"7422","Carretero"
"7422","Carrocero, carrocerías/madera"
"7422","Carrocero, vehículos/madera"
"4142","Cartero"
"2148","Cartógrafo"
"2148","Cartógrafo, marina"
"5152","Cartomántico"
"7415","Catador, alimentos"
"7415","Catador, café"
"7415","Catador, licores"
"7415","Catador, té"
"7415","Catador, vinos"
"7415","Catador, zumos"
"9312","Cavador, zanjas y acequias"
"6154","Cazador"
"6154","Cazador, ballenas"
"6154","Cazador, focas"
"5131","Celadora, escuela"
"3117","Cementador, pozos de petróleo y gas"
"7123","Cementista"
"7123","Cementista, hormigón armado"
"7123","Cementista, trabajos de acabado"
"3449","Censor público"
"7321","Ceramista"
"2452","Ceramista artístico"
"7321","Ceramista, espitas"
"7321","Ceramista, moldes"
"7222","Cerrajero"
"8278","Cervecero"
"7424","Cestero"
"7424","Cestero, muebles/mimbre"
"7411","Chacinero"
"7433","Chalequero"
"7422","Chapeador, muebles/madera"
"7213","Chapista, automóviles"
"7213","Chapista, aviones"
"7213","Chapista, carrocerías"
"7213","Chapista, decoración"
"7213","Chapista, muebles/metal"
"7213","Chapista, ornamentación"
"7213","Chapista-calderero"
"7213","Chapista-hojalatero"
"7213","Chapista-montador, muebles"
"7213","Chapista-trazador"
"2455","Charlista"
"7412","Chocolatero"
"8322","Chófer, automóvil"
"7411","Choricero"
"7412","Churrero"
"2443","Científico, ciencias políticas"
"7416","Cigarrero"
"7321","Cincelador, cerámica"
"7313","Cincelador-orfebre"
"3131","Cineasta"
"2221","Cirujano"
"2222","Cirujano, bucodental"
"2221","Cirujano, cardiología"
"2221","Cirujano, cirugía general"
"2221","Cirujano, cirugía plástica"
"2222","Cirujano, dentista"
"2221","Cirujano, neurocirugía"
"2221","Cirujano, ortopedia"
"2221","Cirujano, osteópata"
"2221","Cirujano, tórax"
"2453","Citarista"
"2211","Citólogo"
"2211","Citólogo, botánica"
"2211","Citólogo, zoología"
"2453","Clarinetista"
"7415","Clasificador, aceites comestibles"
"7415","Clasificador, alimentos"
"7416","Clasificador, cigarros"
"4142","Clasificador, correspondencia"
"7441","Clasificador, cueros y pellejos"
"7431","Clasificador, fibras textiles"
"7415","Clasificador, fruta"
"7416","Clasificador, hojas de tabaco"
"7415","Clasificador, legumbres"
"7421","Clasificador, madera"
"7113","Clasificador, piedras"
"7441","Clasificador, pieles"
"6122","Clasificador, pollos"
"9133","Clasificador, ropa/lavandería"
"7442","Clasificador, suelas"
"7442","Clasificador, suelas/zapatos"
"7416","Clasificador, tabaco"
"8312","Clasificador, trenes"
"6141","Clasificador, troncos"
"7434","Clavador, pieles"
"2453","Clavecinista"
"2112","Climatólogo"
"7343","Clisador, fotograbador/imprenta"
"7343","Clisador, fotoimpresor/imprenta"
"7343","Clisador, grabado al aguafuerte"
"7342","Clisador-galvanotipia"
"4215","Cobrador, alquileres"
"5112","Cobrador, autobuses"
"5112","Cobrador, autocares"
"4215","Cobrador, deudas"
"4215","Cobrador, donativos/obras de caridad"
"4215","Cobrador, facturas"
"5112","Cobrador, funiculares"
"5112","Cobrador, tranvías"
"5112","Cobrador, trolebuses"
"7212","Cobresoldador"
"7212","Cobresoldador, horno"
"7212","Cobresoldador, inducción"
"7212","Cobresoldador, soplete"
"7412","Cocedor, confitería"
"9332","Cochero de punto"
"5122","Cocinero, barco"
"5122","Cocinero, barco/comidas de la tripulación"
"5122","Cocinero, campamentos de trabajo"
"5122","Cocinero, chef"
"5122","Cocinero, conservación de alimentos"
"5122","Cocinero, dietas especiales"
"5122","Cocinero, pastelería"
"5122","Cocinero, restaurante"
"5122","Cocinero, servicio doméstico"
"5122","Cocinero, vegetales"
"4143","Codificador"
"4143","Codificador, estadísticas"
"4143","Codificador, tratamiento de datos"
"7313","Colador, joyería"
"7313","Colador, moldes/joyería"
"7437","Colchonero"
"7412","Colocador de tablas, panadería"
"7412","Colocador de tablas, pastelería"
"7122","Colocador, bordillos"
"7129","Colocador, cables subterráneos"
"7136","Colocador, conducciones"
"7122","Colocador, ladrillos/chimeneas"
"7136","Colocador, tuberías de drenaje"
"7136","Colocador, tubos y conducciones"
"2230","Comadrona, nivel superior"
"3143","Comandante, aeronave"
"3142","Comandante, barco/navegación interior"
"7434","Combinador, pieles"
"2455","Comediante"
"2451","Comentarista, actualidades"
"2451","Comentarista, deportes"
"2451","Comentarista, radio y televisión"
"3472","Comentarista-entrevistador, televisión"
"1314","Comerciante, mayorista"
"1314","Comerciante, minorista"
"3474","Cómico, circo"
"1120","Comisario general, policía nacional"
"5111","Comisario, avión"
"7341","Compaginador, fotocomposición"
"2453","Compositor"
"7341","Compositor, imposición"
"3416","Comprador"
"3416","Comprador, mercancías/comercio mayorista"
"3416","Comprador, mercancías/comercio minorista"
"1110","Concejal, municipal"
"2453","Concertador, coros"
"2453","Concertista cantante"
"2453","Concertista instrumentista"
"2412","Conciliador, laboral"
"2412","Conciliador, relaciones laborales"
"8322","Conductor, ambulancia"
"9332","Conductor, animales/canteras"
"9332","Conductor, animales/minas"
"8332","Conductor, apisonadora"
"8332","Conductor, asfaltadora"
"8323","Conductor, autobús"
"8322","Conductor, automóviles"
"9331","Conductor, bicicleta"
"9211","Conductor, bovinos"
"8332","Conductor, bulldozer"
"8324","Conductor, camión"
"8324","Conductor, camión cisterna"
"8324","Conductor, camión con remolque"
"8324","Conductor, camión de gran tonelaje"
"8324","Conductor, camión lanzadera/canteras"
"8324","Conductor, camión volquete"
"8322","Conductor, camioneta"
"8322","Conductor, camioneta de correos"
"8331","Conductor, carreta/transporte de troncos y fustes"
"9331","Conductor, carro de mano"
"8332","Conductor, draga"
"9332","Conductor, elefantes"
"8322","Conductor, entrega de automóviles"
"8332","Conductor, excavadora"
"8311","Conductor, ferrocarril"
"8322","Conductor, furgoneta"
"8322","Conductor, furgoneta postal"
"8332","Conductor, máquina explanadora"
"8331","Conductor, máquina forestal/acarreo de rollizos"
"9332","Conductor, maquinaria agrícola/no motorizada"
"8311","Conductor, metro"
"8323","Conductor, microbús"
"8321","Conductor, motocicleta"
"9332","Conductor, mulas"
"8332","Conductor, niveladora/cuchilla frontal"
"9332","Conductor, recuas"
"9331","Conductor, silla de manos"
"8322","Conductor, taxi"
"8331","Conductor, tractor agrícola"
"8323","Conductor, tranvía"
"8311","Conductor, tren"
